"id","relid","year","type_of_violence","conflict_name","side_a","side_b","latitude","longitude","region","deaths_a","deaths_b","deaths_civilians","deaths_unknown"
72395,"IND-2008-2-124-11",2008,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.77852,93.78508,"Asia",0,0,1,0
72396,"IND-2008-2-124-12",2008,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.6701,94.1077,"Asia",1,0,0,0
72397,"IND-2008-2-124-13",2008,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.91174,93.7217,"Asia",0,1,0,0
72427,"IND-2007-2-124-43",2007,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",24.798445,93.573631,"Asia",0,0,1,0
72443,"IND-2007-2-124-11",2007,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.937139,94.41146,"Asia",1,0,0,0
72444,"IND-2007-2-124-13",2007,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",26.666633,95.076171,"Asia",3,0,0,0
72501,"SRI-2004-2-108-16",2004,2,"LTTE - LTTE - K","LTTE","LTTE - K",6.931944,79.847778,"Asia",0,1,0,0
72570,"IND-2007-2-124-14",2007,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",26.024707,94.542106,"Asia",2,0,0,0
72602,"IND-2008-2-124-21",2008,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.75,94.16667,"Asia",0,1,0,0
72599,"IND-2008-2-124-22",2008,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",26.476699,94.420478,"Asia",0,1,0,0
72601,"IND-2008-2-124-20",2008,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.861686,93.774848,"Asia",0,0,0,0
72653,"IND-2007-2-124-15",2007,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.91174,93.7217,"Asia",0,0,3,0
73162,"IND-2008-2-124-27",2008,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.870083,93.765087,"Asia",0,1,0,0
72786,"SRI-2005-2-108-8",2005,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.951569,81.24523,"Asia",0,2,0,0
72787,"SRI-2004-2-108-23",2004,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.75,81.4997,"Asia",3,0,0,0
72904,"SRI-2006-2-108-13",2006,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.7102,81.6924,"Asia",3,2,0,0
72925,"IND-2007-2-124-18",2007,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",26.903287,95.082629,"Asia",4,0,0,0
72948,"IND-2008-2-124-23",2008,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",26.903287,95.082629,"Asia",0,1,0,0
72950,"IND-2008-2-124-24",2008,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.91174,93.7217,"Asia",0,0,0,0
73016,"SRI-2005-2-108-13",2005,2,"LTTE - LTTE - K","LTTE","LTTE - K",8.583333,81.083333,"Asia",0,0,0,1
73133,"IND-2007-2-124-22",2007,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",26.476699,94.420478,"Asia",1,0,0,0
73156,"IND-2008-2-124-25",2008,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.912221,93.704803,"Asia",0,0,0,0
73206,"IND-2007-2-124-23",2007,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",26.25,94.75,"Asia",1,0,0,0
73207,"IND-2007-2-124-24",2007,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.77852,93.78508,"Asia",0,0,1,0
73235,"IND-2007-2-124-25",2007,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.862619,93.924179,"Asia",0,0,0,0
73286,"SRI-2005-2-108-25",2005,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.7782,81.6038,"Asia",0,0,0,0
73367,"SRI-2005-2-108-12",2005,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.7782,81.6038,"Asia",1,0,0,0
73369,"SRI-2006-2-108-7",2006,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.83333,81.41667,"Asia",0,0,0,6
73374,"SRI-2004-2-108-11",2004,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.75,81.4997,"Asia",0,2,0,0
73463,"IND-2007-2-124-26",2007,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",24.966667,93.55,"Asia",1,0,0,0
73486,"IND-2008-2-124-28",2008,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.6701,94.1077,"Asia",0,1,0,0
96889,"IND-2012-2-124-7",2012,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",26.983192,95.396514,"Asia",0,2,0,0
74413,"SRI-1989-2-318-2",1989,2,"EPRLF - LTTE","EPRLF","LTTE",7.2165,81.8538,"Asia",31,16,3,0
74424,"SRI-2004-2-108-20",2004,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.2165,81.8538,"Asia",1,0,0,0
74606,"SRI-1989-2-318-5",1989,2,"EPRLF - LTTE","EPRLF","LTTE",7.75,81.4997,"Asia",0,0,0,100
77806,"SRI-2005-2-108-20",2005,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.916667,81.433333,"Asia",2,0,0,0
74688,"SRI-2004-2-108-19",2004,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.75,81.4997,"Asia",6,0,1,0
74691,"SRI-2006-2-108-8",2006,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.75,81.4997,"Asia",1,0,0,0
74749,"SRI-2004-2-108-1",2004,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.7102,81.6924,"Asia",0,1,1,0
74754,"SRI-2004-2-108-13",2004,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.7102,81.6924,"Asia",0,2,0,0
74757,"SRI-2005-2-108-7",2005,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.7102,81.6924,"Asia",0,0,0,0
74776,"SRI-2004-2-108-5",2004,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.7102,81.6924,"Asia",2,0,0,0
74777,"SRI-2004-2-108-8",2004,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.7102,81.6924,"Asia",1,0,0,0
74873,"SRI-2004-2-108-21",2004,2,"LTTE - LTTE - K","LTTE","LTTE - K",6.931944,79.847778,"Asia",0,1,0,0
74976,"SRI-2005-2-108-6",2005,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.7782,81.6038,"Asia",0,0,0,0
75034,"SRI-1989-2-318-4",1989,2,"EPRLF - LTTE","EPRLF","LTTE",9.75,80.083333,"Asia",0,0,0,0
77897,"SRI-2004-2-108-22",2004,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.700472,81.539426,"Asia",0,3,0,0
75314,"SRI-2005-2-108-9",2005,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.516667,81.783333,"Asia",0,0,0,1
75316,"SRI-2005-2-108-17",2005,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.516667,81.783333,"Asia",0,0,1,0
75355,"SRI-2005-2-108-18",2005,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.416667,81.816667,"Asia",0,0,0,0
75356,"SRI-2006-2-108-11",2006,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.416667,81.816667,"Asia",0,2,0,0
75449,"SRI-2005-2-108-5",2005,2,"LTTE - LTTE - K","LTTE","LTTE - K",7.6824,81.7334,"Asia",0,0,0,0
75472,"SRI-1994-2-384-10",1994,2,"Supporters of PA - Supporters of UNP","Supporters of PA","Supporters of UNP",7.253056,80.345278,"Asia",2,1,0,0
75475,"SRI-1994-2-384-7",1994,2,"Supporters of PA - Supporters of UNP","Supporters of PA","Supporters of UNP",7.253056,80.345278,"Asia",0,0,0,1
75675,"SRI-1994-2-384-3",1994,2,"Supporters of PA - Supporters of UNP","Supporters of PA","Supporters of UNP",7.75,80.25,"Asia",0,0,0,1
75848,"SRI-2004-2-108-18",2004,2,"LTTE - LTTE - K","LTTE","LTTE - K",8.016667,81.483333,"Asia",2,0,0,0
76181,"SRI-1989-2-318-1",1989,2,"EPRLF - LTTE","EPRLF","LTTE",9.25,80.5499,"Asia",0,0,0,0
